#OTU ID	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	Consensus Lineage
ZOTU1387	81	58	32	51	52	40	68	63	99	28	41	25	117	67	46	42	16	48	21	8	31	8	3	4	15	45	34	30	32	47	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__; s__
ZOTU293	78	128	27	14	182	150	15	27	29	48	136	136	347	179	361	30	40	80	37	15	61	93	83	78	53	100	127	4279	3990	5111	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Eubacterium]_hallii_group; s__uncultured_bacterium
ZOTU586	15	49	7	9	49	66	10	24	23	10	17	11	84	38	69	5	9	9	7	2	3	6	1	1	4	3	5	72	54	31	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
ZOTU1463	21	3	32	41	5	1	0	3	1	27	72	34	10	3	6	53	38	116	0	0	1	0	1	0	1	5	2	11	3	6	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU92	349	1255	209	165	1602	1349	120	226	257	115	184	193	2551	1259	1961	155	158	210	3	0	2	3	1	3	4	8	9	1757	2090	171	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__
ZOTU1003	144	16	228	147	20	13	50	45	52	99	235	176	32	19	22	54	65	108	0	0	0	0	0	0	0	0	0	42	43	0	 k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Acidaminococcaceae; g__Phascolarctobacterium; s__
ZOTU1028	46	4	5	14	4	4	34	4	12	5	18	23	15	8	3	8	4	10	0	0	1	2	4	5	3	4	3	0	0	0	 k__Bacteria; p__Proteobacteria; c__; o__; f__; g__; s__
ZOTU1265	176	20	61	69	89	39	49	96	99	35	50	44	99	41	51	16	11	37	391	79	590	85	31	38	245	713	431	0	0	0	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU1395	78	44	17	15	19	20	63	37	42	18	48	37	55	19	15	22	20	45	3	0	3	0	1	0	5	9	6	39	41	64	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
ZOTU1098	224	38	195	180	0	0	108	44	103	83	153	134	1	0	0	4	1	5	9	0	6	0	0	0	0	0	0	0	1	5	 k__Bacteria; p__Firmicutes; c__; o__; f__; g__; s__
ZOTU1213	30	6	135	96	8	2	0	0	1	77	153	86	14	6	6	139	204	191	48	42	5	0	0	1	0	1	2	13	12	12	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU524	43	171	24	23	195	190	29	43	35	19	40	30	295	176	301	36	45	53	18	4	21	48	29	24	25	38	40	514	487	400	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU1297	8	1	1	1	1	0	16	0	6	0	1	4	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	1	0	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU93	39	66	54	29	81	60	32	16	19	22	71	81	170	77	122	38	100	53	489	265	647	1538	833	921	960	1308	1088	429	620	12140	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Roseburia; s__
ZOTU178	61	272	157	64	131	79	6	5	3	56	131	96	569	299	470	130	219	161	11	14	20	67	39	31	64	71	54	1344	1357	617	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Eubacterium]_ventriosum_group; s__
ZOTU445	17	69	27	13	89	70	14	22	13	9	17	10	140	75	110	7	18	13	0	0	0	0	0	0	0	0	0	61	66	0	 k__Bacteria; p__Tenericutes; c__Mollicutes; o__Mollicutes_RF9; f__uncultured_bacterium; g__uncultured_bacterium; s__uncultured_bacterium
ZOTU656	63	4	6	5	9	7	213	456	474	5	9	4	9	10	13	10	9	11	1	0	0	0	0	1	4	1	0	10	4	4	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Hungatella; s__
ZOTU286	121	271	82	111	255	199	144	77	172	81	103	111	629	308	484	83	94	162	4	3	4	15	7	8	9	13	7	407	353	389	 k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__
ZOTU1044	157	16	141	122	1	1	119	51	98	72	106	100	2	0	0	2	1	3	1	0	6	0	0	0	0	0	0	0	1	3	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU298	190	262	158	200	74	45	0	0	1	117	253	79	643	240	345	8	16	30	0	0	0	0	0	0	0	0	0	384	738	0	 k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella_7; s__
ZOTU1147	14	3	3	6	1	0	26	0	3	11	17	24	8	5	7	16	19	62	0	0	1	0	0	1	0	0	0	12	6	6	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU1402	70	24	5	4	30	10	31	1	5	4	9	18	34	16	16	0	0	1	2	2	5	9	15	7	4	7	4	0	0	0	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU1487	94	0	3	0	1	0	180	2	11	4	1	18	1	0	1	10	1	5	0	0	0	0	0	0	0	0	0	5	1	2	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU1370	67	1	44	22	0	2	64	25	33	23	29	40	7	5	3	47	30	61	2	0	3	0	0	0	1	1	1	4	5	14	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
ZOTU1206	93	2	23	44	6	2	53	39	48	25	31	30	10	2	6	25	24	49	38	2	60	2	0	0	16	50	41	5	2	21	 k__Bacteria; p__Firmicutes; c__Clostridia; o__; f__; g__; s__
ZOTU1111	351	0	363	491	1	1	17	0	0	183	409	247	1	1	0	252	286	395	1387	604	117	0	0	0	0	1	1	0	2	1	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU680	38	1	280	88	3	1	0	1	0	179	281	150	0	1	1	255	261	405	0	0	0	0	0	0	0	0	0	28	28	27	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU388	58	55	39	33	65	39	73	82	106	54	76	61	94	47	78	72	95	79	0	0	0	0	0	0	0	0	0	48	38	0	 k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Butyricimonas; s__
ZOTU985	35	12	37	49	0	0	25	14	13	20	19	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__; o__; f__; g__; s__
ZOTU921	13	6	88	48	4	2	1	1	0	45	170	77	20	7	20	124	160	349	1	4	1	0	1	0	0	4	0	17	16	8	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU1361	306	22	105	96	20	10	142	126	128	81	97	95	57	20	21	96	62	124	64	3	68	3	4	2	31	55	53	22	33	92	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__; s__
ZOTU1502	174	19	40	56	6	5	117	63	109	28	90	118	17	5	5	40	20	77	0	0	0	0	0	0	12	0	0	5	14	24	 k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
ZOTU1212	68	0	96	82	0	0	5	0	0	42	127	88	0	0	0	106	81	199	12	7	3	0	0	0	0	0	0	1	0	0	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__; s__
ZOTU1130	8	23	14	19	11	5	0	2	1	23	70	39	22	17	23	10	14	36	1	0	1	4	4	1	0	2	0	0	0	0	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU1372	4	17	2	2	16	18	10	5	3	1	2	1	18	17	18	1	2	1	0	1	1	1	2	2	1	3	0	0	0	0	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU1415	61	2	13	33	3	1	20	22	29	17	29	16	2	0	1	10	16	18	39	0	62	0	1	0	22	76	69	1	0	8	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
ZOTU179	52	249	65	31	323	333	5	22	21	31	52	47	787	353	689	62	65	88	3	7	5	12	8	5	11	5	7	1949	1815	132	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus_1; s__uncultured_bacterium
ZOTU166	24	29	140	87	32	18	6	8	13	92	95	145	39	27	43	94	152	266	0	0	0	0	0	0	0	0	0	46	30	0	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU1403	174	28	93	109	25	18	98	109	126	40	78	59	44	24	25	16	13	37	0	0	0	0	0	0	0	0	0	14	14	0	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU1378	111	80	50	41	90	43	87	61	58	53	101	119	170	69	87	64	41	118	40	35	14	25	5	22	19	17	8	129	117	153	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__Christensenellaceae_R-7_group; s__uncultured_bacterium
ZOTU800	123	3	116	153	1	0	6	0	0	73	221	166	0	0	0	38	50	68	558	1133	71	20	2	4	0	0	1	0	0	0	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU1315	76	14	48	29	30	20	74	57	48	20	26	31	34	10	42	34	46	54	128	101	67	4	2	5	37	116	103	27	26	105	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
ZOTU1140	98	7	6	10	5	3	90	6	10	12	5	27	5	9	5	1	0	6	0	0	0	0	0	0	0	0	0	2	3	0	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU1493	19	4	1	1	1	2	13	8	19	5	6	14	5	2	7	5	4	15	0	0	0	0	0	0	0	0	0	21	25	11	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
ZOTU297	245	369	872	180	430	445	34	104	59	776	1051	855	631	468	1039	1108	2073	1358	92	27	64	211	169	142	227	231	231	2590	2556	3203	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__
ZOTU1418	36	9	85	62	7	2	19	7	22	25	47	20	25	6	12	35	38	33	25	1	17	4	2	0	5	7	6	6	8	7	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__
ZOTU14	56	67	34	30	64	43	19	30	46	31	42	132	119	81	122	45	55	47	0	1	0	4	0	0	1	0	0	446	338	4	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Anaerotruncus; s__
ZOTU202	118	281	95	53	384	314	54	94	106	39	58	55	586	295	554	61	89	82	20	3	10	41	28	28	19	31	29	484	617	179	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__
ZOTU191	73	373	123	69	342	365	30	48	52	68	155	201	947	417	672	130	214	228	2	0	6	5	5	2	3	8	5	954	930	482	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU1152	75	0	28	34	2	2	101	38	78	16	29	31	5	3	0	14	13	29	1	1	3	0	0	1	3	2	2	11	10	11	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__; f__; g__; s__
ZOTU366	14	27	13	6	21	38	3	9	10	3	7	5	44	27	102	10	17	12	6	2	3	9	19	7	23	15	20	263	221	129	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospiraceae_FCS020_group; s__
ZOTU963	14	3	12	18	1	4	19	1	10	21	17	19	15	5	4	17	7	20	2	0	0	0	0	0	1	0	0	2	3	2	 k__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__
ZOTU190	17	135	39	9	187	116	10	30	19	24	25	27	356	240	430	39	39	38	0	0	0	0	0	0	0	0	0	279	254	0	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__[Eubacterium]_coprostanoligenes_group; s__uncultured_bacterium
ZOTU1215	43	4	12	26	0	0	46	29	28	23	21	20	13	3	5	18	14	32	2	0	2	0	0	0	15	0	2	0	3	5	 k__Bacteria; p__Bacteroidetes; c__; o__; f__; g__; s__
ZOTU1267	123	0	61	42	0	0	7	0	0	42	90	126	0	0	0	59	47	126	9	3	0	0	0	0	0	0	0	1	3	1	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__; s__
ZOTU920	56	68	14	28	72	42	45	36	50	34	33	42	98	60	52	7	4	15	0	0	0	0	0	0	0	0	0	57	57	0	 k__Bacteria; p__Firmicutes; c__; o__; f__; g__; s__
ZOTU151	9	300	73	15	249	161	2	7	5	7	39	29	771	370	470	49	70	36	1	0	0	0	0	0	0	1	1	2334	2702	38	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Eubacterium]_ruminantium_group; s__uncultured_bacterium
ZOTU837	107	0	248	281	0	0	6	0	0	86	177	133	0	0	0	2	4	2	20	0	5	0	0	0	0	0	0	1	0	0	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU1145	22	76	33	12	116	60	1	3	2	25	47	26	164	82	112	13	8	7	10	14	16	60	27	34	13	20	18	0	0	0	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
ZOTU317	103	8	53	26	13	9	140	108	152	25	39	24	20	8	11	39	38	49	319	671	301	87	57	58	15184	201	289	9	7	1346	 k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__
ZOTU1214	58	10	27	34	24	26	15	29	41	16	16	14	24	7	22	7	3	7	171	53	306	29	23	24	143	373	207	0	0	0	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__
ZOTU1466	19	59	20	9	81	51	5	12	10	6	26	14	132	58	105	24	38	58	12	4	2	10	11	5	10	16	6	34	54	39	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
ZOTU870	220	0	443	462	1	0	8	1	1	268	517	360	3	1	3	268	306	497	425	12	35	0	0	0	0	0	0	3	2	4	 k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__uncultured_bacterium
ZOTU1482	48	89	23	19	48	26	40	5	10	23	38	32	130	88	110	51	39	123	1	0	3	3	0	0	1	2	4	157	211	108	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
ZOTU1258	60	290	43	44	108	89	29	11	14	29	52	44	271	161	167	59	35	69	1	0	2	6	4	0	1	9	7	156	218	116	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU868	113	75	69	43	58	26	50	51	66	31	59	47	130	41	71	35	36	70	17	0	19	9	3	3	21	20	24	106	90	272	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
ZOTU318	68	178	245	116	262	210	27	60	76	62	97	110	415	184	480	96	147	138	103	23	150	187	72	75	91	108	94	881	927	1374	 k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__; s__
ZOTU1393	46	114	154	336	95	35	6	0	1	121	142	128	167	74	87	178	133	268	3	0	4	8	4	6	3	16	6	123	150	254	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU1134	23	5	7	11	2	1	0	1	3	3	5	11	7	5	4	15	12	30	4	1	2	0	1	1	4	8	8	17	15	29	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__; s__
ZOTU1451	54	0	36	49	0	0	1	0	0	25	36	34	0	1	0	28	31	49	27	4	1	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
ZOTU913	59	6	30	34	9	7	36	15	40	21	24	20	34	12	12	23	17	21	112	3	120	0	0	1	2	23	9	3	5	16	 k__Bacteria; p__Actinobacteria; c__; o__; f__; g__; s__
ZOTU1430	76	104	84	54	58	38	14	2	3	57	92	49	192	95	111	96	78	97	1	0	3	3	8	1	2	8	6	227	334	251	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU716	3	4	4	2	20	11	1	3	1	1	0	3	16	5	11	2	6	1	0	0	0	0	0	0	0	0	0	11	16	0	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Christensenellaceae; g__Christensenellaceae_R-7_group; s__uncultured_bacterium
ZOTU867	36	5	37	39	1	0	30	20	36	8	14	23	0	0	0	0	0	2	6	0	19	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__
ZOTU403	28	3	10	16	8	8	94	1435	361	6	10	3	13	6	18	7	17	15	0	0	0	0	0	0	0	0	0	13	15	0	 k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Pediococcus; s__
ZOTU241	59	233	60	23	370	281	60	106	108	31	40	50	524	289	558	45	58	58	0	0	0	0	0	0	0	0	0	159	182	0	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
ZOTU993	45	27	19	11	31	20	22	26	29	7	25	17	60	27	61	24	28	53	0	0	0	0	0	0	3	3	3	33	58	48	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
ZOTU1192	38	2	0	1	1	2	26	0	4	2	1	4	10	5	5	0	1	7	1	0	0	0	0	0	0	0	0	0	5	4	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
ZOTU1137	126	78	134	117	42	15	8	12	6	111	169	136	114	68	41	163	154	222	13	1	8	2	1	1	3	18	19	111	133	283	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU1053	23	0	7	5	0	0	43	17	48	5	5	6	0	2	0	3	7	8	0	0	0	0	0	1	3	9	0	5	4	8	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
ZOTU973	129	53	52	53	88	65	48	34	40	33	88	90	75	31	58	14	15	24	73	11	104	66	33	37	145	75	64	0	0	0	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU1243	27	1	2	2	0	1	71	9	48	1	3	10	1	1	0	4	2	11	0	0	0	0	0	0	0	0	0	5	10	5	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
ZOTU1380	114	22	79	84	7	4	152	6	21	64	110	100	26	22	12	83	60	132	0	0	0	0	0	0	1	0	0	69	118	61	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU788	2	3	0	1	9	9	0	0	0	1	0	3	7	6	6	4	1	0	0	0	0	0	0	0	0	0	0	18	13	0	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__[Eubacterium]_coprostanoligenes_group; s__
ZOTU1158	141	126	107	94	227	144	51	13	30	57	144	114	223	106	143	29	18	38	128	7	131	131	43	75	12	18	6	0	0	0	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU1161	53	7	48	48	8	3	17	1	5	23	51	48	15	7	15	36	22	63	26	0	2	0	0	2	0	0	1	8	3	11	 k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__uncultured_bacterium
ZOTU137	68	106	465	425	56	49	15	10	7	464	684	559	191	98	239	581	1267	1136	24	8	19	45	36	29	28	62	58	411	400	480	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus_1; s__
ZOTU1101	6	0	0	0	1	0	0	0	0	0	1	1	7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	7	0	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiales_vadinBB60_group; g__uncultured_bacterium; s__uncultured_bacterium
ZOTU44	230	330	116	63	240	242	21	48	35	52	107	75	563	316	1053	122	174	174	221	79	159	414	352	287	299	424	557	4952	5078	4581	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Fusicatenibacter; s__uncultured_bacterium
ZOTU1479	45	0	31	31	0	0	5	0	0	21	53	54	0	0	0	24	24	72	4	6	1	0	0	0	0	0	0	0	0	0	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU789	77	5	36	26	2	0	63	31	41	42	62	55	5	8	2	42	17	63	0	0	1	0	0	0	0	1	2	12	7	21	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU500	13	11	26	14	31	21	11	9	10	6	13	24	42	13	31	20	22	15	8	0	9	6	2	0	1	4	0	14	25	7	 k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Gordonibacter; s__
ZOTU1308	53	10	2	6	7	11	74	33	62	3	10	6	13	13	7	4	4	7	2	0	2	0	0	0	1	3	1	10	9	14	 k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__; s__
ZOTU1255	154	2	65	67	6	2	77	123	113	34	34	29	8	5	4	39	27	57	128	4	215	1	1	2	57	184	173	4	5	38	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__
ZOTU922	25	12	50	62	4	4	3	1	0	65	122	83	24	8	12	141	137	386	0	1	0	0	0	0	0	0	1	95	69	28	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU1066	64	24	35	25	15	11	8	0	0	30	47	64	36	28	27	71	49	123	0	0	0	0	1	1	1	1	0	30	49	50	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
ZOTU248	91	154	59	47	239	216	25	39	29	43	72	71	441	216	349	78	82	112	2	2	0	3	1	0	2	0	4	476	687	94	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
ZOTU1224	68	18	14	27	31	14	18	25	22	16	45	46	21	15	11	5	3	6	0	0	0	1	0	0	9	1	1	0	0	0	 k__Bacteria; p__; c__; o__; f__; g__; s__
ZOTU795	3	6	6	3	9	9	1	0	3	1	3	0	25	12	24	2	3	3	6	0	47	6	9	4	6	4	3	3	7	68	 k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Veillonellaceae; g__Veillonella; s__
ZOTU212	24	9	9	5	12	6	46	45	45	4	6	7	13	12	15	8	8	16	1	0	0	1	0	0	7	0	0	16	19	14	 k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__
ZOTU1115	10	8	2	3	12	5	13	3	13	1	2	4	13	10	7	2	2	6	3	1	3	7	2	3	5	3	2	0	0	0	 k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__Escherichia-Shigella; s__
ZOTU1364	59	0	65	90	0	0	1	0	0	51	145	79	1	0	0	99	87	142	11	3	3	0	0	0	0	0	0	1	0	0	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae_1; g__Clostridium_sensu_stricto_1; s__uncultured_bacterium
ZOTU1496	20	78	3	5	129	87	2	10	9	2	16	9	93	70	114	3	2	8	5	1	4	26	20	13	8	6	10	0	0	0	 k__Bacteria; p__Firmicutes; c__; o__; f__; g__; s__
ZOTU254	75	126	57	33	174	107	29	38	44	29	39	44	305	144	262	40	64	75	0	0	0	0	0	0	0	0	0	726	733	0	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Tyzzerella_3; s__
ZOTU666	1	1	0	0	0	1	0	0	0	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	3	6	1	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospiraceae_FE2018_group; s__uncultured_bacterium
ZOTU1231	22	1	14	8	2	2	18	12	19	3	22	5	6	3	4	1	1	4	0	0	0	0	0	0	0	0	0	8	12	0	 k__Bacteria; p__Firmicutes; c__Negativicutes; o__Selenomonadales; f__Acidaminococcaceae; g__Phascolarctobacterium; s__
ZOTU259	20	59	27	20	116	120	12	28	15	10	7	14	120	59	138	15	24	19	71	36	124	327	137	166	146	182	158	153	146	462	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
ZOTU209	1	1	0	2	0	0	0	2	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	 k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__
ZOTU1446	56	30	13	8	19	12	34	24	36	15	31	26	57	30	53	30	42	94	4	0	2	1	1	0	2	3	5	40	59	60	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
ZOTU1058	33	10	11	14	3	2	52	2	3	8	11	15	6	3	6	3	1	0	0	0	0	0	0	0	0	0	0	15	14	0	 k__Bacteria; p__Firmicutes; c__; o__; f__; g__; s__
ZOTU111	98	349	208	86	929	815	100	230	181	78	133	121	790	484	904	165	147	169	4	0	7	4	8	6	4	7	10	1196	1148	235	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcaceae_NK4A214_group; s__uncultured_bacterium
ZOTU159	32	109	39	17	140	97	20	45	49	27	32	44	304	138	275	35	60	57	0	0	0	1	1	0	1	0	0	221	176	0	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
ZOTU1481	32	0	0	0	0	2	67	1	4	1	0	4	1	0	0	0	0	5	0	0	0	0	0	1	0	0	0	2	1	2	 k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
ZOTU322	231	243	156	46	202	182	340	216	221	73	136	158	487	241	574	129	199	183	26	13	40	72	53	35	86	102	84	364	406	1102	 k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Odoribacter; s__
